depth,url,type,message
"5","https://help.x.com/using-x/x-supported-browsers","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/using-x/x-supported-browsers]"
"6","https://help.x.com/de/using-twitter/twitter-timeline.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/de/using-twitter/twitter-timeline.html]"
"6","https://help.x.com/en/forms/dsa/question","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/dsa/question]"
"6","https://help.x.com/en","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en]"
"7","https://help.x.com/rules-and-policies/x-rules","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/x-rules]"
"7","https://help.x.com/en/forms/dsa/appeal.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/dsa/appeal.html]"
"7","https://help.x.com/resources/accessibility","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/resources/accessibility]"
"8","https://help.x.com/en/forms/account-access/appeals.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/account-access/appeals.html]"
"8","https://help.twitter.com/rules-and-policies/enforcement-options","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/enforcement-options]"
"8","https://help.twitter.com/forms/privacy","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/forms/privacy]"
"8","https://help.twitter.com/forms/general?subtopic=suspended","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/forms/account-access/appeals]"
"8","https://help.x.com/using-x/x-premium","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/using-x/x-premium]"
"9","https://access.jamsadr.com/","FAILED","PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target"
"9","http://twitter.com/rules","FAILED","HTTP error fetching URL. Status=520, URL=[http://twitter.com/rules]"
"9","https://help.twitter.com/en/rules-and-policies/violent-entities.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/violent-entities.html]"
"9","https://help.twitter.com/en/forms/safety-and-sensitive-content/abuse.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/safety-and-sensitive-content/abuse.html]"
"9","https://help.twitter.com/en/rules-and-policies/intimate-media","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/intimate-media]"
"9","https://developer.x.com/en1/use-cases/build-for-businesses","FAILED","HTTP error fetching URL. Status=404, URL=[https://developer.x.com/en/en1/use-cases/build-for-businesses]"
"9","https://devcommunity.x.com/t/upcoming-updates-to-the-self-serve-x-api/227668","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/t/upcoming-updates-to-the-self-serve-x-api/227668]"
"9","https://help.x.com/rules-and-policies/x-automation","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/x-automation]"
"9","http://t.co/YuKy2rcjyU","FAILED","HTTP error fetching URL. Status=520, URL=[http://t.co/YuKy2rcjyU]"
"9","https://help.twitter.com/using-x/x-premium","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/using-x/x-premium]"
"9","https://devcommunity.x.com/","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/]"
"9","https://twittercommunity.com/t/removing-support-for-embedded-like-collection-and-moment-timelines/150313","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/t/removing-support-for-embedded-like-collection-and-moment-timelines/150313]"
"9","http://www.privacyshield.gov/list","TIMEOUT","Read timed out"
"9","http://www.privacyshield.gov/PrivacyShield/ApplyNow","TIMEOUT","Read timed out"
"10","https://developer.x.com/en/support/twitter-api/developer-account.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://developer.x.com/en/support/x-api/developer-account]"
"10","https://twittercommunity.com/c/publisher/41/none","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/c/publisher/41/none]"
"10","https://help.x.com/en/forms/safety-and-sensitive-content/illegal-regulated-behaviors","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/safety-and-sensitive-content/illegal-regulated-behaviors]"
"10","https://help.twitter.com/forms","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/forms]"
"10","https://help.twitter.com/en/managing-your-account/how-to-change-country-settings.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/managing-your-account/how-to-change-country-settings.html]"
"10","https://business.x.com/en/help/overview/what-are-follower-ads.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://business.x.com/en/help/overview/what-are-follower-ads]"
"10","http://blog.twitter.com/2011/01/tweets-must-flow.html","FAILED","HTTP error fetching URL. Status=520, URL=[http://blog.twitter.com/2011/01/tweets-must-flow.html]"
"10","https://accounts.google.com/privacy?gl=IL&hl=en","FAILED","HTTP error fetching URL. Status=404, URL=[https://accounts.google.com/privacy?gl=IL&hl=en]"
"10","https://help.twitter.com/managing-your-account/issues-with-login-authentication","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/managing-your-account/issues-with-login-authentication]"
"10","https://twittercommunity.com/","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/]"
"10","http://developer.x.com/en1/use-cases/build-for-businesses","FAILED","HTTP error fetching URL. Status=404, URL=[https://developer.x.com/en/en1/use-cases/build-for-businesses]"
